,date,positive_sentiment,stock
0,2021-03-12,1,ADRO
1,2021-03-10,0,ADRO
2,2021-03-09,0,ADRO
3,2021-03-08,0,ADRO
4,2021-03-05,1,ADRO
5,2021-03-04,0,ADRO
6,2021-03-03,0,ADRO
7,2021-03-02,1,ADRO
8,2021-03-01,1,ADRO
9,2021-02-26,0,ADRO
10,2021-02-25,0,ADRO
11,2021-02-24,0,ADRO
12,2021-02-23,1,ADRO
13,2021-02-22,1,ADRO
14,2021-02-19,0,ADRO
15,2021-02-18,0,ADRO
16,2021-02-17,0,ADRO
17,2021-02-16,0,ADRO
18,2021-02-15,1,ADRO
19,2021-02-11,0,ADRO
20,2021-02-10,0,ADRO
21,2021-02-09,0,ADRO
22,2021-02-08,1,ADRO
23,2021-02-05,1,ADRO
24,2021-02-04,0,ADRO
25,2021-02-03,0,ADRO
26,2021-02-02,1,ADRO
27,2021-02-01,0,ADRO
28,2021-01-29,0,ADRO
29,2021-01-28,0,ADRO
30,2021-01-27,0,ADRO
31,2021-01-26,0,ADRO
32,2021-01-25,0,ADRO
33,2021-01-22,0,ADRO
34,2021-01-21,1,ADRO
35,2021-01-20,0,ADRO
36,2021-01-19,0,ADRO
37,2021-01-18,0,ADRO
38,2021-01-15,0,ADRO
39,2021-01-14,0,ADRO
40,2021-01-13,0,ADRO
41,2021-01-12,1,ADRO
42,2021-01-11,1,ADRO
43,2021-01-08,1,ADRO
44,2021-01-07,0,ADRO
45,2021-01-06,0,ADRO
46,2021-01-05,1,ADRO
47,2021-01-04,0,ADRO
48,2020-12-30,0,ADRO
49,2020-12-29,1,ADRO
50,2020-12-28,1,ADRO
51,2020-12-23,0,ADRO
52,2020-12-22,1,ADRO
53,2020-12-21,0,ADRO
54,2020-12-18,0,ADRO
55,2020-12-17,1,ADRO
56,2020-12-16,0,ADRO
57,2020-12-15,1,ADRO
58,2020-12-14,0,ADRO
59,2020-12-11,0,ADRO
60,2020-12-10,1,ADRO
61,2020-12-08,1,ADRO
62,2020-12-07,1,ADRO
63,2020-12-04,0,ADRO
64,2020-12-03,1,ADRO
65,2020-12-02,0,ADRO
66,2020-12-01,1,ADRO
67,2020-11-30,1,ADRO
68,2020-11-27,1,ADRO
69,2020-11-26,0,ADRO
70,2020-11-25,1,ADRO
71,2020-11-24,1,ADRO
